# schema=1
20002	Quartermaster Wynne	Prontera Culverts	Bring Rat Tail, Single Cell, and Worm Peeling|Turn in to Quartermaster Wynne
20003	Quartermaster Wynne	Prontera West Field	Bring Grasshopper's Leg, Animal Skin, and Rocker Doll|Turn in to Quartermaster Wynne
20008	Sun-Hwa	Payon Forest	Bring Mushroom Spore, Pointed Scale, and Green Herb|Turn in to Sun-Hwa
20009	Sun-Hwa	Payon Caves	Bring Skel-Bone, Decayed Nail, and Sticky Mucus|Turn in to Sun-Hwa
20014	Rashid the Guide	Sograt Desert	Bring Cactus Needle, Bill of Birds, and Empty Bottle|Turn in to Rashid the Guide
20015	Rashid the Guide	Ant Hell	Bring Shell, Worm Peeling, and Elder Pixie's Moustache|Turn in to Rashid the Guide
20016	Rashid the Guide	Sphinx Dungeon	Bring Iron Ore, Wing of Red Bat, and Animal Skin|Turn in to Rashid the Guide
20020	Apprentice Elsbeth	Geffen Dungeon	Bring Poison Spore, Sticky Mucus, and Solid Shell|Turn in to Apprentice Elsbeth
20021	Apprentice Elsbeth	Orc Village	Bring Orcish Voucher, Cyfar, and Milk|Turn in to Apprentice Elsbeth
20022	Apprentice Elsbeth	Mt. Mjolnir	Bring Bug Leg, Cobweb, and Maneater Blossom|Turn in to Apprentice Elsbeth
20027	Captain Mara	Byalan Island Dungeon	Bring Gill, Sharp Scale, and Tentacle|Turn in to Captain Mara
20028	Captain Mara	Sunken Ship	Bring Skel-Bone, Worm Peeling, and Fabric|Turn in to Captain Mara
20103	Doctor Ingrid Vahl	Yuno Field	Bring Harpy Feather, Antelope Horn, and Maneater Blossom|Turn in to Doctor Ingrid Vahl
20104	Doctor Ingrid Vahl	Juperos Ruins	Bring Rusty Screw, Used Iron Plate, and Metal Fragment|Turn in to Doctor Ingrid Vahl
20105	Doctor Ingrid Vahl	El Mes Plateau	Bring Sand Clump, Great Nature, and Empty Bottle|Turn in to Doctor Ingrid Vahl
20113	Greta Holm	Einbroch Mine Dungeon	Bring Old Pick, Mould Powder, and Single Cell|Turn in to Greta Holm
20114	Greta Holm	Einbroch Field	Bring Flexible Tube, Jubilee, and Mole Claw|Turn in to Greta Holm
20115	Greta Holm	Einbroch Mine Dungeon	Bring Gun Powder, Crystal Fragment, and Dark Crystal Fragment|Turn in to Greta Holm
20122	Sir Aldric Unfrocked	Glast Heim Knights	Bring Brigan, Worn Out Page, and Reins|Turn in to Sir Aldric Unfrocked
20123	Sir Aldric Unfrocked	Glast Heim Abbey	Bring Fabric, Zargon, and Skull|Turn in to Sir Aldric Unfrocked
20132	Acolyte Naima	Ice Dungeon	Bring Glacial Heart, Ice Cubic, and Cold Ice|Turn in to Acolyte Naima
20133	Acolyte Naima	Ice Dungeon	Bring Ice Piece, Crystal Blue, and Ice Crystal|Turn in to Acolyte Naima
20142	Doctor Sabine Reuter	Somatology Laboratory	Bring Handcuffs, Research Chart, and Used Iron Plate|Turn in to Doctor Sabine Reuter
20143	Doctor Sabine Reuter	Kiel Dungeon	Bring Solid Iron Piece, Burnt Part, and Alice's Apron|Turn in to Doctor Sabine Reuter
20153	Priest Eadric	Hu Fild02	Bring Talon of Griffon, Cyfar, and Maneater Root|Turn in to Priest Eadric
20154	Priest Eadric	Abyss 01/02/03	Bring Dragon Scale, Dragon Canine, and Dragon Skin|Turn in to Priest Eadric
20163	Envoy Aelith	Spl Fild01/Bif Fild01	Bring Mystic Horn, Solid Shell, and Sharp Leaf|Turn in to Envoy Aelith
20164	Envoy Aelith	Spl Fild01/03	Bring Shining Scale, Stiff Horn, and Brown Root|Turn in to Envoy Aelith
20173	Father Quill	Abbey01	Bring Old White Cloth, Skull, and Monster's Feed|Turn in to Father Quill
20174	Father Quill	Cursed Abbey	Bring Clattering Skull, Skel-Bone, and Torn Magic Book|Turn in to Father Quill
20183	Foreman Dunmar	Thor V01/02	Bring Burning Heart, Burning Hair, and Live Coal|Turn in to Foreman Dunmar
20184	Foreman Dunmar	Ve Fild03/07	Bring Sticky Poison, Maneater Blossom, and Jubilee|Turn in to Foreman Dunmar
20192	Keeper Lysandra	Tha T07/08	Bring Worn Out Page, Topaz, and Pearl|Turn in to Keeper Lysandra
20193	Keeper Lysandra	Tha T08/09/11	Bring Ruby, Garnet, and Red Feather|Turn in to Keeper Lysandra
20202	Kronecker G Heine	Gl Prison1	Bring Worn-out Prison Uniform, Manacles, and Cyfar|Turn in to Kronecker G Heine
20203	Kronecker G Heine	Prt Maze02/Prt Fild08	Bring Bear's Footskin, Garlet, and Clover|Turn in to Kronecker G Heine
20212	Doctor Mira Tressa	Kh Dun01/Kh Kiehl01	Bring Brigan, Solid Iron Piece, and Smoke Powder|Turn in to Doctor Mira Tressa
20213	Doctor Mira Tressa	Lhz Dun04	Bring Handcuffs, Research Chart, and Blood Thirst|Turn in to Doctor Mira Tressa
20222	The Familiar Dead	Nif Fild01/02	Bring Armor Piece of Dullahan, Ectoplasm, and Bat Cage|Turn in to The Familiar Dead
20223	The Familiar Dead	Nif Fild01/02	Bring Decomposed Rope, Spool, and Red Muffler|Turn in to The Familiar Dead
20232	Loki The Voice	Moc Pryd04/Moc Fild16	Bring Rotten Bandage, Scale Shell, and Grit|Turn in to Loki The Voice
20050	Fountain	Prontera	Speak to the fountain keeper
